,snap_num,pos,nick,lap,gap,int,pits,t
15,9,16,Ricciardo,9,23.7,2.400,1,1:43.808
16,9,17,Chilton,OUT,29.4,5.600,1,
17,9,18,Pic,9,32.8,3.400,1,1:44.512
18,9,19,Bianchi,9,35.2,2.400,1,2:02.341
19,9,20,Van Der Garde,9,41.2,5.900,1,2:02.607
20,9,21,Sutil,×,3L, ,1,
21,9,22,Gutierrez,×,4L, ,0,
0,10,1,Hulkenberg,9, , ,0,1:43.386
1,10,2,Vettel,9,1.0,1.000,0,1:43.686
2,10,3,Button,9,3.3,2.300,0,1:44.751
3,10,4,Massa,OUT,3.6,1.500,1,
4,10,5,Perez,9,4.6,1.000,0,1:46.161
5,10,6,Di Resta,9,5.3,0.600,0,1:45.552
6,10,7,Grosjean,OUT,8.3,2.900,1,
7,10,8,Vergne,9,12.7,4.400,0,1:47.098
8,10,9,Bottas,9,13.3,0.500,0,1:48.054
9,10,10,Alonso,9,14.1,0.800,1,1:58.755
10,10,11,Hamilton,9,15.2,1.100,1,1:42.612
11,10,12,Maldonado,OUT,16.9,1.700,1,
12,10,13,Raikkonnen,9,17.9,1.000,1,1:59.584
13,10,14,Webber,9,19.1,1.100,1,1:44.226
14,10,15,Rosberg,9,21.2,2.100,1,1:43.378
15,10,16,Ricciardo,9,23.7,2.400,1,1:43.808
16,10,17,Chilton,OUT,29.4,5.600,1,
17,10,18,Pic,9,32.8,3.400,1,1:44.512
18,10,19,Bianchi,9,35.2,2.400,1,2:02.341
19,10,20,Van Der Garde,9,41.2,5.900,1,2:02.607
20,10,21,Sutil,×,3L, ,1,
21,10,22,Gutierrez,×,4L, ,0,
0,11,1,Hulkenberg,11, , ,0,1:44.148
1,11,2,Vettel,11,0.7,0.700,0,1:44.222
2,11,3,Button,11,3.8,3.100,0,1:44.593
3,11,4,Perez,11,6.5,2.700,0,1:44.524
4,11,5,Di Resta,11,7.3,0.700,0,1:44.657
5,11,6,Alonso,11,12.7,5.400,1,1:43.120
6,11,7,Hamilton,11,13.6,0.800,1,1:43.156
7,11,8,Vergne,11,15.2,1.600,0,1:45.977
8,11,9,Raikkonnen,11,16.8,1.500,1,1:43.443
9,11,10,Bottas,11,17.8,1.000,0,1:45.492
10,11,11,Massa,11,19.0,1.100,1,1:43.174
11,11,12,Webber,11,19.6,0.500,1,1:44.241
12,11,13,Rosberg,11,21.2,1.600,1,1:43.856
13,11,14,Grosjean,11,24.1,2.800,1,1:43.669
14,11,15,Ricciardo,11,24.8,0.600,1,1:44.737
15,11,16,Maldonado,11,37.4,12.600,1,1:45.858
16,11,17,Pic,11,38.7,1.200,1,1:47.647
17,11,18,Bianchi,11,39.0,0.300,1,1:46.154
18,11,19,Van Der Garde,11,44.8,5.700,1,1:45.786
19,11,20,Chilton,11,50.1,5.300,1,1:45.202
20,11,21,Sutil,×,5L, ,1,
21,11,22,Gutierrez,×,6L, ,0,
0,12,1,Hulkenberg,12, , ,0,1:44.330
1,12,2,Vettel,12,1.1,1.100,0,1:44.735
2,12,3,Button,12,4.1,3.300,0,1:44.416
3,12,4,Perez,12,7.1,3.000,0,1:44.738
4,12,5,Di Resta,12,8.1,0.900,0,1:44.958
5,12,6,Alonso,12,11.5,3.400,1,1:42.914
6,12,7,Hamilton,12,12.5,1.000,1,1:43.121
7,12,8,Vergne,12,15.6,3.000,0,1:44.520
8,12,9,Raikkonnen,12,15.9,0.300,1,1:43.314
9,12,10,Massa,12,18.9,2.900,1,1:44.060
10,12,11,Bottas,12,20.0,1.000,0,1:46.286
11,12,12,Webber,12,20.4,0.400,1,1:45.005
12,12,13,Rosberg,12,21.1,0.600,1,1:44.015
13,12,14,Grosjean,12,24.0,2.900,1,1:44.090
14,12,15,Ricciardo,12,24.7,0.600,1,1:44.023
15,12,16,Maldonado,12,38.9,14.200,1,1:45.620
16,12,17,Pic,12,40.7,1.800,1,1:46.210
17,12,18,Bianchi,12,41.3,0.600,1,1:46.495
18,12,19,Van Der Garde,12,47.0,5.700,1,1:46.408
19,12,20,Chilton,12,51.4,4.300,1,1:45.416
20,12,21,Sutil,×,6L, ,1,
21,12,22,Gutierrez,×,7L, ,0,
0,13,1,Hulkenberg,13, , ,0,1:44.725
1,13,2,Vettel,13,1.0,1.000,0,1:44.594
2,13,3,Button,13,4.4,3.200,0,1:44.622
3,13,4,Perez,13,7.6,3.200,0,1:44.792
4,13,5,Di Resta,13,8.8,1.200,0,1:45.059
5,13,6,Alonso,13,10.3,1.400,1,1:43.117
6,13,7,Hamilton,13,11.3,1.000,1,1:43.112
7,13,8,Raikkonnen,13,14.9,3.500,1,1:43.270
8,13,9,Vergne,13,16.4,1.500,0,1:45.144
9,13,10,Massa,13,17.9,1.400,1,1:43.282
10,13,11,Webber,13,20.2,2.200,1,1:44.061
11,13,12,Rosberg,13,22.1,1.900,1,1:45.345
12,13,13,Bottas,13,22.8,0.600,0,1:47.146
13,13,14,Grosjean,13,24.3,1.400,1,1:44.550
14,13,15,Ricciardo,13,24.7,0.400,1,1:44.332
15,13,16,Maldonado,13,40.0,15.300,1,1:45.439
16,13,17,Pic,13,42.2,2.100,1,1:45.769
17,13,18,Bianchi,13,42.6,0.300,1,1:45.565
18,13,19,Van Der Garde,13,48.7,6.100,1,1:46.055
19,13,20,Chilton,13,52.2,3.400,1,1:45.086
20,13,21,Sutil,×,7L, ,1,
21,13,22,Gutierrez,×,8L, ,0,
0,14,1,Hulkenberg,14, , ,0,1:44.777
1,14,2,Vettel,14,0.9,0.900,0,1:44.691
2,14,3,Button,14,4.6,3.600,0,1:44.935
3,14,4,Perez,14,8.2,3.600,0,1:45.398
4,14,5,Di Resta,14,9.1,0.800,0,1:45.006
5,14,6,Alonso,14,9.3,0.100,1,1:43.721
6,14,7,Hamilton,14,10.9,1.600,1,1:44.310
7,14,8,Raikkonnen,14,13.8,2.900,1,1:43.647
8,14,9,Vergne,14,16.3,2.400,0,1:44.578
9,14,10,Massa,14,16.9,0.600,1,1:43.728
10,14,11,Webber,14,18.8,1.900,1,1:43.416
11,14,12,Rosberg,14,21.7,2.800,1,1:44.304
12,14,13,Bottas,14,23.5,1.800,0,1:45.490
13,14,14,Grosjean,14,24.4,0.800,1,1:44.839
14,14,15,Ricciardo,14,24.8,0.400,1,1:44.857
15,14,16,Maldonado,14,40.6,15.800,1,1:45.330
16,14,17,Pic,14,43.7,3.000,1,1:46.273
17,14,18,Bianchi,14,44.2,0.500,1,1:46.388
18,14,19,Van Der Garde,14,50.3,6.100,1,1:46.330
19,14,20,Chilton,14,53.0,2.600,1,1:45.561
20,14,21,Sutil,×,8L, ,1,
21,14,22,Gutierrez,×,9L, ,0,
0,15,1,Hulkenberg,14, , ,0,1:44.777
1,15,2,Vettel,14,0.9,0.900,0,1:44.691
2,15,3,Button,15,0.8,0.200,0,1:44.821
3,15,4,Perez,15,8.7,4.100,0,1:45.244
4,15,5,Alonso,15,9.0,0.200,1,1:44.509
5,15,6,Di Resta,15,10.0,0.900,0,1:45.680
6,15,7,Hamilton,15,10.4,0.400,1,1:44.292
7,15,8,Raikkonnen,15,12.2,1.800,1,1:43.216
8,15,9,Vergne,15,16.3,4.000,0,1:44.837
9,15,10,Massa,15,16.7,0.300,1,1:44.570
10,15,11,Webber,15,17.8,1.100,1,1:43.773
11,15,12,Rosberg,15,20.9,3.000,1,1:44.036
12,15,13,Bottas,15,23.6,2.600,0,1:44.784
13,15,14,Grosjean,15,24.2,0.600,1,1:44.570
14,15,15,Ricciardo,15,24.6,0.400,1,1:44.602
15,15,16,Maldonado,15,40.3,15.700,1,1:44.516
16,15,17,Pic,15,44.4,4.000,1,1:45.501
17,15,18,Bianchi,15,45.0,0.500,1,1:45.568
18,15,19,Van Der Garde,15,52.0,6.900,1,1:46.426
19,15,20,Chilton,15,53.6,1.600,1,1:45.392
20,15,21,Sutil,×,9L, ,1,
21,15,22,Gutierrez,×,10L, ,0,
0,16,1,Hulkenberg,PIT, , ,1,
1,16,2,Vettel,PIT,0.5,0.500,1,
2,16,3,Button,15,0.8,0.200,0,1:44.821
